0,1,2,3
98.18821409631192,80,99.74934828860344,90
98.80989752291472,74,99.3461955840448,98
98.24984763094656,78,99.6319312520086,91
98.57004080149864,77,99.52325470631806,96
98.63767274174623,72,98.97486947193504,94
98.62529860419168,76,99.08583740544283,91
98.62225569919961,74,99.8712370878232,96
98.26066486388332,70,99.37121951384084,90
98.25749193324717,74,98.88677483233688,97
98.36216188016571,84,99.94026843451937,98
98.99649114847082,71,99.74219455088146,90
98.33527031092868,89,98.70012608484083,94
98.96993741530451,74,99.50399803092459,94
98.44620946009739,76,99.99513229725375,91
98.28014252877648,70,98.7314970236253,100
98.79510898011189,85,99.21651749346815,98
98.75700031423727,87,99.01817011558909,98
98.76742004714677,80,99.12404684033976,94
98.82589748329795,80,99.03696433455599,94
98.1437640521815,77,99.63582384426235,93
98.11289246572039,83,98.54977612121061,97
98.98676928271007,88,98.60379887061663,96
98.72248015975234,78,98.64056304556979,95
98.16692657975848,87,98.92285679386583,91
98.21550737360812,78,98.62709675558636,91
98.37340362254669,74,98.90356505982305,97
98.56223863766778,86,99.63929611527584,96
98.45060957584299,87,99.4003839756911,97
98.82209657690068,74,99.921761745517,90
98.05277657643614,81,99.7438406975739,91
98.96250470302263,87,99.70952665878062,95
98.52233946610271,70,98.64987645828036,99
98.0897323251519,90,98.99184736172212,91
98.01233278838531,70,99.06396835792982,97
98.34872070695909,82,99.3195950206241,92
98.7638653596403,86,98.76007234452932,97
98.63541653736112,82,99.53104995478881,92
98.0023855723223,90,99.22830006338405,92
98.11481806793383,77,99.43560092852056,97
98.43799248064224,80,98.97123985242614,94
98.17127870358358,89,98.92083880813364,96
98.7577997771746,74,99.72772469485811,100
98.04275703009598,75,99.91127640066014,90
98.6136651963399,85,99.65859622170899,97
98.84502591869747,80,99.32877412496279,92
98.57650106558418,90,99.89861757638299,96
98.99027858294738,88,99.52538718844094,99
98.95836399799194,83,99.62547301801756,91
98.33658325892715,70,99.09155902469087,99
98.3202881816544,70,99.34255794973197,94
98.93871295035795,85,99.16443915438728,92
98.10013688197297,78,99.40602998488623,96
98.26830173478032,85,99.62188698581954,93
98.08677097961099,82,99.29841285370507,98
98.16423127414288,84,98.6514586088681,98
98.64579743658942,83,98.58632349900438,95
98.63326234370227,89,99.34624723434803,94
98.7351324714385,77,98.81051572834316,95
98.49273589638865,74,99.78953826120764,92
98.87328194321739,74,99.4600853039258,93
98.98722652424229,88,99.77196821108346,91
98.13440764925006,85,98.98677075642851,93
98.56011346960179,73,98.5759629650092,95
98.31849224684974,83,98.99806729980263,99
98.00828775724479,74,99.09954534193152,95
98.76000838931115,79,99.45827298694532,94
98.91671301730577,71,99.28519548324309,99
98.32604910549935,89,99.27315752027269,95
98.77431344480321,75,98.9171131628741,92
98.3636958496451,90,99.73799542847219,98
98.0491242454103,89,99.47263296753003,90
98.56619895422358,81,99.9614608746449,100
98.51457085086646,70,98.81400474587662,98
98.27076861854317,84,99.90616765061735,90
98.12557101684398,74,99.48501299051854,90
98.25880808419613,80,99.49532585485609,91
98.85763192604139,73,99.55137643768845,97
98.5655747721576,71,99.57211419666821,94
98.05938628017401,84,98.57632199187975,94
98.5733633916584,76,98.92981354197393,100
98.62513333347216,81,99.93633626126164,100
98.9355405401638,78,99.36365041337328,96
98.9194554047376,71,98.65714389153528,93
98.63925472762709,80,99.72502691232145,97
98.49095000513731,77,98.58898333704634,99
98.35614506609389,89,98.90081876259389,96
98.12975102308548,77,99.23229493513723,90
98.30032732805842,78,99.11001370756917,94
98.6777293812683,83,98.78846339534759,95
98.68878808420392,73,99.63052895675033,95
98.49105762488514,72,98.8308366776625,97
98.83220766205213,90,99.97363586290717,94
98.54206029420733,74,98.99964218525857,98
98.43647929619756,77,99.1121488816622,97
98.3063135534209,90,99.04933186254391,95
98.38612181240862,90,98.7704053385043,98
98.57923513962722,78,99.29063737651326,100
98.06182218407723,76,99.61499127658274,98
98.72907656627413,79,99.66756365776517,90
98.10941393346498,71,99.50946090481601,98
98.61097488991808,70,98.7921706220739,97
98.76157159061928,72,99.99659932688225,92
98.56539593757807,71,99.49821665674288,91
98.10901880994086,79,98.78897525322101,91
98.76361611932097,90,98.62065855008494,91
98.66035961796719,78,99.56776090545257,98
98.30203340495085,87,99.06072535933414,94
98.11398579286801,70,99.48838333859966,99
98.41166700712232,81,99.41654897017062,94
98.30610328477624,89,98.63409112530414,91
98.39421474074376,80,99.4951729963041,93
98.894113118098,77,99.05398146888592,96
98.77681788398459,72,99.44702909414409,90
98.7962796217907,88,99.1956147618945,96
98.32286102497886,79,99.44686890361429,98
98.14583634828013,74,99.80857297598877,95
98.64405437210793,85,99.8860733014709,91
98.90964220846035,74,98.86813623867009,98
98.91539621725056,90,98.62923754167099,94
98.7704232261701,79,99.5374031008098,91
98.72934950863335,83,99.58807433657591,98
98.49640377284196,74,99.47137746703574,100
98.45286194096185,78,98.57871425117612,93
98.62092239747491,77,98.64441759289262,95
98.86668532992745,86,99.4636275096485,92
98.08336425860969,70,99.94216378368644,94
98.73558248582275,88,99.92524360712088,95
98.47329912631119,82,99.0154566758844,91
98.16055072143357,77,99.82580591006975,96
98.69002804144556,80,99.3562736178553,94
98.53939632438104,72,99.68818803215397,90
98.01595077091753,80,99.65448696790332,91
98.20497643235471,83,99.999281074896,94
98.83445606906143,78,99.85363108164368,100
98.10911262071431,72,99.20803388182992,96
98.04311142094616,79,99.75516542560018,99
98.7509485606013,79,99.33432819136637,99
98.37786462281244,87,98.94077233849076,90
98.02907301822826,84,98.54746083579006,95
98.30353664308836,80,99.57251089906055,90
98.91013364358498,76,99.2636473929062,99
98.40698569589868,83,99.7228107192444,91
98.39916802310974,71,99.87432591052246,91
98.28785516486305,80,99.33436338095996,95
98.33823105227242,80,99.2190697642354,90
98.2248122116483,70,99.63483245142879,100
98.08886329261748,78,98.67807269977543,96
98.83171775245849,89,99.09693072233841,91
98.25293906309597,85,98.8773458354471,97
98.92783451792359,76,99.92346818336695,90
98.38138941433915,72,99.37971179516586,98
98.41818770176961,88,99.04478657801883,100
98.45151975588145,72,98.96575671241195,91
98.90414484513724,80,99.33069393538834,93
98.27275534463686,77,99.84550876448566,92
98.73223261007914,73,99.12025657772377,93
98.18955077481232,73,99.8882150889246,100
98.47608833762051,83,99.34576764200105,99
98.00136345989999,84,98.76293347272114,90
98.93028462029184,84,99.09202178939144,99
98.05357505900001,88,99.37328055642493,98
98.77310909758233,73,98.72508873178853,91
